POST_ID,POST_TEXT,SHARED_POST_TEXT,DATE_PUBLISHED,IS_ATTENDING,post_date,text,label,predicted
7039167862506188800,"What a team! I am looking forward to attending the MoneyLIVE event tomorrow. If you are there, come and visit the OneSpan stand and let us know how you are managing the steps in your digital journeys!

#team #digitalbusinesstransformation #digitaljourney
Robert Godowski Arun Bains Darren Waite Daniel Mcloughlin Ralitsa Miteva Simon Turley Cian Reilly Khalid Qayum","Team OneSpan looking good and ready at MoneyLIVE London. If you’re here, come visit us at our stand to find out how we can help you along your digital journey.

Darren Waite Khalid Qayum
#weareonespan #powerofone",2023-03-08T09:39:59.819Z,no,2023-03-08,"post date: 2023-03-08 What a team! I am looking forward to attending the MoneyLIVE event tomorrow. If you are there, come and visit the OneSpan stand and let us know how you are managing the steps in your digital journeys!

#team #digitalbusinesstransformation #digitaljourney
Robert Godowski Arun Bains Darren Waite Daniel Mcloughlin Ralitsa Miteva Simon Turley Cian Reilly Khalid Qayum Team OneSpan looking good and ready at MoneyLIVE London. If you’re here, come visit us at our stand to find out how we can help you along your digital journey.

Darren Waite Khalid Qayum
#weareonespan #powerofone",0,no
7099329704716836865,Going to DMEXCO this year? Let’s meet up!,,2023-08-21T10:01:40.749Z,no,2023-08-21,post date: 2023-08-21 Going to DMEXCO this year? Let’s meet up!,0,no
7242774507898159104,"I attended the DMEXCO - Digital Marketing Expo & Conference in Cologne and had the pleasure of meeting many friends! And for sure I will keep an eye on the following topics in the next months:

▶️ Cultural Marketing.
▶️ AI in Marketing.
▶️ AI made in Germany.
▶️ AI-powered search and ads.
▶️ Social commerce.
▶️ Immersive commerce.
▶️ Digital audio advertising.
▶️ Connected TV advertising.

To name just a few topics. What was your highlight topic of #dmexco2024? Drop your feedback in the comments. 👇 Thanks.

And a big thank you to Torsten Schwarz, Daniel Jäger, Sheila Moghaddam Ghazvini, Marc Stahlmann, Peter Bilz-Wohlgemuth, Dominique Korschinek, Sven Verborg, Sabine Lüdecke, Robin Heintze, Eric Siems, and Antonia Niemann for our chats.

Everybody who wants to keep updated on the latest #Innovation in #Marketing should follow me. I often post about it!",,2024-09-20T06:00:06.905Z,yes,2024-09-20,"post date: 2024-09-20 I attended the DMEXCO - Digital Marketing Expo & Conference in Cologne and had the pleasure of meeting many friends! And for sure I will keep an eye on the following topics in the next months:

▶️ Cultural Marketing.
▶️ AI in Marketing.
▶️ AI made in Germany.
▶️ AI-powered search and ads.
▶️ Social commerce.
▶️ Immersive commerce.
▶️ Digital audio advertising.
▶️ Connected TV advertising.

To name just a few topics. What was your highlight topic of #dmexco2024? Drop your feedback in the comments. 👇 Thanks.

And a big thank you to Torsten Schwarz, Daniel Jäger, Sheila Moghaddam Ghazvini, Marc Stahlmann, Peter Bilz-Wohlgemuth, Dominique Korschinek, Sven Verborg, Sabine Lüdecke, Robin Heintze, Eric Siems, and Antonia Niemann for our chats.

Everybody who wants to keep updated on the latest #Innovation in #Marketing should follow me. I often post about it!",1,yes
7239204607623651331,"Hello Cologne, hello DMEXCO - Digital Marketing Expo & Conference 2024.

Meet me and the IBM iX DACH team on 18 & 19 September at our joint booth with Salesforce - hall 6, booth C-011.

👉 Join our Masterclass ""The future of smart retail - Hyper-personalized commerce fueled by generative AI"". Get more information: https://lnkd.in/eKJwhcHM

We also bring three demos, where we show the power of Salesforce & IBM iX:
1️⃣ Smart Retail by Hyper-Personalized Commerce
2️⃣ (Field) Service and case management for technical service providers
3️⃣ Enrich data with Data Cloud and personalized interaction with Industry Clouds in a multi-org environment

Götz Gützlaff Sheila Moghaddam Ghazvini André Jansen Jaiky K. Pujaranee Prusty Neena Tiwari Oliver Naimann Jewgenij Karalnik",,2024-09-10T09:34:36.341Z,yes,2024-09-10,"post date: 2024-09-10 Hello Cologne, hello DMEXCO - Digital Marketing Expo & Conference 2024.

Meet me and the IBM iX DACH team on 18 & 19 September at our joint booth with Salesforce - hall 6, booth C-011.

👉 Join our Masterclass ""The future of smart retail - Hyper-personalized commerce fueled by generative AI"". Get more information: https://lnkd.in/eKJwhcHM

We also bring three demos, where we show the power of Salesforce & IBM iX:
1️⃣ Smart Retail by Hyper-Personalized Commerce
2️⃣ (Field) Service and case management for technical service providers
3️⃣ Enrich data with Data Cloud and personalized interaction with Industry Clouds in a multi-org environment

Götz Gützlaff Sheila Moghaddam Ghazvini André Jansen Jaiky K. Pujaranee Prusty Neena Tiwari Oliver Naimann Jewgenij Karalnik",1,no
7224359906676543489,"Everything that Fintan says here, I agree with 100%. ","There is an elegance in simple solutions that I love and that's why I'm such a fan of what Björn Nilsson and the team at FTDx are doing. 

As an operator, install one simple script and monetise traffic from countries you are not allowed to convert, basically monetise remnant inventory easily.

A great example would be a brand like Betano who was a headline sponsor of Euro2024 but only accepts players from a short list of countries, a solution like FTDx would have helped improve the ROI on what I'm sure was a very expensive campaign. 

Was a lot of fun to chat with Bjorn and I'm expecting big things. 

Links in the comments",2024-07-31T10:27:03.839Z,no,2024-07-31,"post date: 2024-07-31 Everything that Fintan says here, I agree with 100%.  There is an elegance in simple solutions that I love and that's why I'm such a fan of what Björn Nilsson and the team at FTDx are doing. 

As an operator, install one simple script and monetise traffic from countries you are not allowed to convert, basically monetise remnant inventory easily.

A great example would be a brand like Betano who was a headline sponsor of Euro2024 but only accepts players from a short list of countries, a solution like FTDx would have helped improve the ROI on what I'm sure was a very expensive campaign. 

Was a lot of fun to chat with Bjorn and I'm expecting big things. 

Links in the comments",0,no
7242052975173488640,"Thrilled to be back at DMEXCO - Digital Marketing Expo & Conference 🤩

This time with a bigger team💪

If you’re around, let’s connect and talk sustainable merch!","Meet our Team at DMEXCO - Digital Marketing Expo & Conference in Cologne from tomorrow, 18th & 19th of Sept. 👱♂️ 👱♀️ 👱♂️ 

Julien Chabert, Helene Klug & Daniel N. Paluch will be on the ground to talk sustainable #merch & catch the latest trends in #MarComm at Europe's leading digital marketing & tech event. 🌐 

Get in touch for a quick chat! ☕",2024-09-18T06:13:00.080Z,yes,2024-09-18,"post date: 2024-09-18 Thrilled to be back at DMEXCO - Digital Marketing Expo & Conference 🤩

This time with a bigger team💪

If you’re around, let’s connect and talk sustainable merch! Meet our Team at DMEXCO - Digital Marketing Expo & Conference in Cologne from tomorrow, 18th & 19th of Sept. 👱♂️ 👱♀️ 👱♂️ 

Julien Chabert, Helene Klug & Daniel N. Paluch will be on the ground to talk sustainable #merch & catch the latest trends in #MarComm at Europe's leading digital marketing & tech event. 🌐 

Get in touch for a quick chat! ☕",1,yes
6980851412981161984,"Thanks to eCommerce Expo for inviting me and the panel to talk about the Future of CRM this morning. 
Thanks Dave Robinson Marek Borowik Lucy McCabe for a great discussion.

 #future #ecommerce #crm #ogilvy",,2022-09-28T11:31:14.782Z,no,2022-09-28,"post date: 2022-09-28 Thanks to eCommerce Expo for inviting me and the panel to talk about the Future of CRM this morning. 
Thanks Dave Robinson Marek Borowik Lucy McCabe for a great discussion.

 #future #ecommerce #crm #ogilvy",0,no
6978673511699464192,"Next stop IAB Europe at DMEXCO - Digital Marketing Expo & Conference with Nick Welch, lindsay wiles, Timo Schulte, Lisa Kalyuzhny and @james Collins. Some interesting stats on the decline of use of first party data with 49% advertisers using it less indicating more work to be done on consent and scale.",,2022-09-22T11:17:02.642Z,no,2022-09-22,"post date: 2022-09-22 Next stop IAB Europe at DMEXCO - Digital Marketing Expo & Conference with Nick Welch, lindsay wiles, Timo Schulte, Lisa Kalyuzhny and @james Collins. Some interesting stats on the decline of use of first party data with 49% advertisers using it less indicating more work to be done on consent and scale.",0,no
7011432594118443008,"Where startups go to grow: The New York City Tech Day, America’s largest tradeshow and conference for technology! 🚀

Tech Day definitely has been a highly energizing event for the tech and entrepreneurship community. 🔥 

I loved the excitement and the enthusiasm at the venue! Attending events like this is a great way to stay informed about the latest trends and developments in the tech and entrepreneurship world, as well as make connections with like-minded individuals who share a passion for innovation and progress. Tech Day was a great experience full of forward-thinking people! 


And here are some photos with my first international client „Rene - Travel Insurance“! Always a pleasure to work with such great personalities! 🤝",,2022-12-21T20:49:56.541Z,no,2022-12-21,"post date: 2022-12-21 Where startups go to grow: The New York City Tech Day, America’s largest tradeshow and conference for technology! 🚀

Tech Day definitely has been a highly energizing event for the tech and entrepreneurship community. 🔥 

I loved the excitement and the enthusiasm at the venue! Attending events like this is a great way to stay informed about the latest trends and developments in the tech and entrepreneurship world, as well as make connections with like-minded individuals who share a passion for innovation and progress. Tech Day was a great experience full of forward-thinking people! 


And here are some photos with my first international client „Rene - Travel Insurance“! Always a pleasure to work with such great personalities! 🤝",0,no
7245002676671844354,Learn how AkzoNobel is redefining its marketing strategy by blending online and offline experiences. Joris Vollebergh shares how their use of technology—from centralizing websites to launching a new e-commerce platform—drives personalized engagement and global operational efficiency. Sign up today for the Experience Makers Forum!,,2024-09-26T09:34:03.732Z,no,2024-09-26,post date: 2024-09-26 Learn how AkzoNobel is redefining its marketing strategy by blending online and offline experiences. Joris Vollebergh shares how their use of technology—from centralizing websites to launching a new e-commerce platform—drives personalized engagement and global operational efficiency. Sign up today for the Experience Makers Forum!,0,no
