POST_ID,id,dmexco_related,reason
7233969530023096321,'7233969530023096321',yes,The post date is within 12 months before the event date. The post mentions attending DMEXCO this year and invites people to join Slalom for a reception during the conference.
7116725767505330176,'7116725767505330176',no,"The post date is October 8, 2023, which is more than 12 months before the event date of September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
6882671739764031488,'6882671739764031488',no,"The post date is December 31, 2021, which is more than 2 years before the event date of DMEXCO 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242942933220442112,'7242942933220442112',yes,"The post date is within 12 months after the event date (September 18, 2024) and contains the hashtag #wwc, indicating a potential connection to DMEXCO 2024."
7243861658689843200,'7243861658689843200',yes,"The post mentions attending DMEXCO and Digital X in Cologne, which took place last week. The post expresses interest in being part of the event again in 2025. The hashtags #dmexco2024 and #digitalx2024 indicate a connection to the DMEXCO event in 2024."
6314121211190272001,'6314121211190272001',no,"The post date is before the event date, which is September 18, 2024. Therefore, the post is not related to the DMEXCO 2024 event."
7242554784925290497,'7242554784925290497',yes,"The post date is within 12 months after the event date. The post mentions attending the event, connecting with new people and partners, thanking the Valtech team for partnership and collaboration, mentioning specific individuals who joined on stage to talk about Cineplex' journey, thanking Laura Garcia and Eileen Tüngler for organizing their presence at the event, and expressing excitement for the next one."
7242141258779910144,'7242141258779910144',yes,"The post date is September 18, 2024, which is the same as the event date for DMEXCO 2024. The post contains announcements and updates related to DMEXCO, such as new features, insights, and tools. Therefore, it can be concluded that the post is related to the DMEXCO 2024 event."
6977937756341559296,'6977937756341559296',no,The post date is outside the acceptable range of 12 months before or after the event date.
7241431017905954816,'7241431017905954816',yes,"The post date is within 12 months before the event date. The post mentions attending the DMEXCO event in 3 days, which aligns with the event date of September 18, 2024. The post also includes details about the Corporate Influencer Summit at DMEXCO, the roundtable topic, and mentions the event hashtag #DMEXCO24 and #DMEXCO2024."
